iter	Passed	Remaining
0	1	133
1	2	127
2	3	128
3	4	117
4	6	117
5	7	115
6	8	113
7	9	111
8	10	110
9	12	108
10	13	107
11	14	106
12	15	105
13	16	104
14	18	103
15	19	101
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	30	88
26	32	86
27	33	86
28	34	85
29	36	84
30	37	83
31	38	81
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	70
41	49	68
42	50	67
43	52	66
44	53	65
45	54	64
46	55	63
47	57	61
48	58	60
49	59	59
50	60	58
51	61	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	51
57	68	49
58	70	48
59	71	47
60	72	46
61	73	45
62	74	44
63	76	42
64	77	41
65	78	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	115	3
97	116	2
98	117	1
99	119	0
